,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,avg_temperature,total_calories,total_ascent,total_descent
1,362.007,1000.0,6.03345,362.007,1000.0,131,148,303,449,164,198,1.0092999999999999,,91.1,269.6,,,69,20,0
2,352.118,1000.0,5.868633333333333,714.125,2000.0,140,148,285,330,164,170,1.0372999999999999,,93.4,269.2,,,68,3,11
3,333.365,1000.0,5.5560833333333335,1047.49,3000.0,141,150,297,379,164,168,1.0937999999999999,,95.8,265.1,,,65,4,15
4,347.977,1000.0,5.799616666666666,1395.467,4000.0,144,150,293,332,162,170,1.0488,,94.0,269.3,,,69,5,8
5,352.866,1000.0,5.8811,1748.333,5000.0,145,155,303,381,164,170,1.0355,,93.4,270.0,,,69,14,4
6,339.851,1000.0,5.664183333333333,2088.184,6000.0,150,155,304,347,164,170,1.0765,,95.1,266.5,,,70,9,6
7,335.44,1000.0,5.5906666666666665,2423.6240000000003,7000.0,145,154,293,384,164,166,1.0907,,95.8,265.6,,,64,3,15
8,341.283,1000.0,5.6880500000000005,2764.907,8000.0,145,151,296,362,164,168,1.0669000000000002,,94.6,267.1,,,65,5,9
9,361.26,1000.0,6.021,3126.1670000000004,9000.0,148,155,298,361,162,168,1.0142,,92.6,272.3,,,70,15,2
10,340.71,1000.0,5.6785,3466.8770000000004,10000.0,153,158,294,371,162,170,1.0739,,94.5,265.5,,,70,4,6
