timestamp,elapsed_seconds,distance,heart_rate,power,cadence_corrected,enhanced_speed,pace_min_km,step_length_m,vertical_oscillation,vertical_ratio,stance_time,stance_time_balance,gct_left_ms,gct_right_ms,gct_imbalance_ms
2025-07-19 03:00:09+00:00,0.0,2.98,134,295.0,168,2.986,5.581603036392051,1.066,92.3,8.65,260.0,,,,
2025-07-19 03:00:10+00:00,1.0,5.97,135,300.0,170,2.986,5.581603036392051,1.053,90.6,8.6,257.0,,,,
2025-07-19 03:00:11+00:00,2.0,8.95,137,305.0,172,2.986,5.581603036392051,1.041,88.7,8.52,255.0,,,,
2025-07-19 03:00:12+00:00,3.0,11.94,138,309.0,176,2.986,5.581603036392051,1.017,85.4,8.39,250.0,,,,
2025-07-19 03:00:13+00:00,4.0,14.93,139,287.0,176,2.986,5.581603036392051,1.017,85.4,8.39,250.0,,,,
2025-07-19 03:00:14+00:00,5.0,17.91,140,287.0,176,2.986,5.581603036392051,1.017,85.4,8.39,250.0,,,,
2025-07-19 03:00:15+00:00,6.0,20.9,142,287.0,176,2.986,5.581603036392051,1.017,85.4,8.39,250.0,,,,
2025-07-19 03:00:16+00:00,7.0,23.89,143,287.0,176,2.986,5.581603036392051,1.017,85.4,8.39,250.0,,,,
2025-07-19 03:00:17+00:00,8.0,26.87,144,286.0,178,2.986,5.581603036392051,1.006,83.7,8.31,248.0,,,,
2025-07-19 03:00:18+00:00,9.0,29.86,145,286.0,178,2.986,5.581603036392051,1.006,83.7,8.31,248.0,,,,
2025-07-19 03:00:19+00:00,10.0,32.84,146,286.0,178,2.986,5.581603036392051,1.006,83.7,8.31,248.0,,,,
2025-07-19 03:00:20+00:00,11.0,35.84,147,287.0,178,2.995,5.564830272676683,1.009,83.7,8.29,248.0,,,,
2025-07-19 03:00:21+00:00,12.0,38.85,148,290.0,176,3.014,5.529750055297502,1.015,84.2,8.28,247.0,,,,
2025-07-19 03:00:22+00:00,13.0,41.89,149,294.0,176,3.042,5.478851632697787,1.025,84.3,8.22,247.0,,,,
2025-07-19 03:00:23+00:00,14.0,44.95,149,297.0,176,3.06,5.446623093681917,1.031,84.7,8.21,246.0,,,,
2025-07-19 03:00:24+00:00,15.0,48.03,150,299.0,178,3.079,5.413012882970661,1.037,84.8,8.17,246.0,,,,
2025-07-19 03:00:25+00:00,16.0,51.13,151,301.0,178,3.098,5.379814934366258,1.044,85.2,8.16,245.0,,,,
2025-07-19 03:00:26+00:00,17.0,54.25,152,303.0,176,3.126,5.3316272126252935,1.053,85.7,8.13,244.0,,,,
2025-07-19 03:00:27+00:00,18.0,57.4,152,305.0,176,3.144,5.301102629346904,1.059,85.8,8.1,244.0,,,,
2025-07-19 03:00:28+00:00,19.0,60.57,152,308.0,176,3.172,5.254308532997057,1.069,86.3,8.07,243.0,,,,
2025-07-19 03:00:29+00:00,20.0,63.77,152,310.0,176,3.191,5.22302308576204,1.075,86.4,8.03,243.0,,,,
2025-07-19 03:00:30+00:00,21.0,66.96,153,311.0,176,3.2,5.208333333333333,1.091,88.2,8.08,245.0,,,,
2025-07-19 03:00:31+00:00,22.0,70.16,153,310.0,176,3.2,5.208333333333333,1.091,88.2,8.08,245.0,,,,
2025-07-19 03:00:32+00:00,23.0,73.36,153,309.0,176,3.2,5.208333333333333,1.091,88.2,8.08,245.0,,,,
2025-07-19 03:00:33+00:00,24.0,76.56,154,307.0,174,3.2,5.208333333333333,1.091,88.2,8.08,245.0,,,,
2025-07-19 03:00:34+00:00,25.0,79.76,155,306.0,174,3.191,5.22302308576204,1.087,88.1,8.1,245.0,,,,
2025-07-19 03:00:35+00:00,26.0,82.91,155,301.0,176,3.154,5.28429507503699,1.063,85.8,8.08,244.0,,,,
2025-07-19 03:00:36+00:00,27.0,86.04,156,299.0,178,3.126,5.3316272126252935,1.053,85.7,8.13,244.0,,,,
2025-07-19 03:00:37+00:00,28.0,89.19,157,301.0,178,3.154,5.28429507503699,1.063,85.8,8.08,244.0,,,,
2025-07-19 03:00:38+00:00,29.0,92.36,157,304.0,174,3.172,5.254308532997057,1.081,88.1,8.14,245.0,,,,
2025-07-19 03:00:39+00:00,30.0,95.56,158,310.0,174,3.2,5.208333333333333,1.091,88.2,8.08,245.0,,,,
2025-07-19 03:00:40+00:00,31.0,98.78,158,314.0,174,3.219,5.177591384487936,1.097,88.6,8.07,244.0,,,,
2025-07-19 03:00:41+00:00,32.0,102.01,159,313.0,176,3.228,5.163155720776539,1.088,86.9,7.98,242.0,,,,
2025-07-19 03:00:42+00:00,33.0,105.24,159,312.0,178,3.228,5.163155720776539,1.088,86.9,7.98,242.0,,,,
