,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,total_ascent,total_descent,avg_temperature,total_calories
1,351.313,1000.0,5.855216666666666,351.313,1000.0,127,138,290,392,160,172,1.04,,91.8,266.4,,8,2,,65
2,335.19,1000.0,5.5865,686.5029999999999,2000.0,149,164,296,339,166,170,1.0755,,93.5,261.6,,6,9,,70
3,327.03,1000.0,5.4505,1013.5329999999999,3000.0,161,170,300,346,168,176,1.0880999999999998,,93.2,258.1,,2,10,,72
4,328.389,1000.0,5.47315,1341.922,4000.0,161,169,299,346,168,176,1.0825,,92.8,258.1,,1,9,,73
5,327.333,1000.0,5.455550000000001,1669.255,5000.0,166,174,312,394,168,170,1.093,,93.8,258.9,,8,8,,73
6,342.928,1000.0,5.715466666666667,2012.183,6000.0,165,172,319,388,166,170,1.0473,,92.5,264.2,,16,2,,75
7,329.802,1000.0,5.496700000000001,2341.985,7000.0,164,169,304,371,166,172,1.0871,,93.8,260.1,,6,10,,72
8,321.19,1000.0,5.353166666666667,2663.175,8000.0,166,170,303,384,168,170,1.1128,,94.4,256.9,,3,11,,70
9,331.35,1000.0,5.5225,2994.525,9000.0,164,169,305,377,168,170,1.08,,93.2,259.8,,5,6,,71
10,347.479,1000.0,5.791316666666666,3342.004,10000.0,161,165,313,368,166,170,1.0278,,91.4,265.1,,15,4,,73
11,319.231,1000.0,5.320516666666666,3661.2349999999997,11000.0,164,167,305,381,168,170,1.1249,,95.2,256.8,,4,14,,69
12,323.677,1000.0,5.394616666666667,3984.912,12000.0,166,174,310,374,168,170,1.0987,,93.9,258.2,,6,8,,71
13,330.333,1000.0,5.50555,4315.245,13000.0,167,174,328,402,166,172,1.0982,,94.4,259.7,,13,5,,73
14,322.886,1000.0,5.381433333333334,4638.131,14000.0,170,175,318,373,168,170,1.1,,94.0,258.2,,12,10,,73
15,309.873,1000.0,5.16455,4948.004,15000.0,168,172,312,370,168,174,1.1467,,94.8,251.6,,4,15,,69
16,332.546,1000.0,5.542433333333333,5280.55,16000.0,168,174,305,382,168,172,1.0679,,92.4,259.7,,9,11,,72
17,346.466,1000.0,5.7744333333333335,5627.0160000000005,17000.0,170,173,315,381,168,176,1.0219,,90.4,263.1,,20,4,,76
18,323.544,1000.0,5.392399999999999,5950.56,18000.0,169,174,307,338,168,174,1.1073,,93.5,255.3,,6,9,,71
19,312.053,1000.0,5.2008833333333335,6262.613,19000.0,168,171,303,342,170,176,1.1159000000000001,,92.5,251.1,,1,12,,68
20,323.4,1000.0,5.39,6586.013,20000.0,168,172,303,362,170,176,1.0909,,91.7,253.3,,3,9,,71
21,322.916,1000.0,5.3819333333333335,6908.929,21000.0,167,180,310,388,170,176,1.0911,,92.2,255.0,,7,8,,70
22,351.936,1000.0,5.8656,7260.865,22000.0,173,180,310,413,166,172,1.0165,,90.3,264.4,,17,1,,78
23,345.294,1000.0,5.7549,7606.159,23000.0,169,172,293,358,168,178,1.0362,,90.2,260.2,,4,7,,78
