,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,avg_temperature,total_calories,total_ascent,total_descent
1,363.722,1000.0,6.062033333333333,363.722,1000.0,133,143,300,369,162,174,1.0111,,90.8,268.4,,,68,18,0
2,339.713,1000.0,5.661883333333334,703.435,2000.0,144,148,293,338,166,174,1.0675,,93.8,264.4,,,68,3,11
3,334.541,1000.0,5.575683333333333,1037.9759999999999,3000.0,143,148,293,369,166,170,1.0754000000000001,,94.1,263.6,,,64,4,15
4,339.367,1000.0,5.656116666666667,1377.3429999999998,4000.0,148,153,298,352,166,172,1.0645,,93.7,264.8,,,68,4,8
5,352.372,1000.0,5.872866666666667,1729.715,5000.0,150,164,304,400,164,172,1.0302,,92.4,267.7,,,70,15,3
6,331.541,1000.0,5.525683333333333,2061.256,6000.0,158,166,308,348,166,178,1.0846,,94.0,261.5,,,71,9,6
7,317.704,1000.0,5.295066666666667,2378.96,7000.0,156,161,306,384,168,170,1.1268,,95.3,256.7,,,66,2,14
8,329.659,1000.0,5.494316666666666,2708.619,8000.0,159,164,303,367,166,174,1.0873,,94.0,260.6,,,70,4,8
9,343.017,1000.0,5.71695,3051.636,9000.0,163,169,317,395,166,174,1.0602,,93.0,263.3,,,74,15,2
10,327.773,1000.0,5.462883333333334,3379.409,10000.0,164,167,293,382,164,178,1.0677,,91.8,258.4,,,70,4,8
