,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,total_ascent,total_descent,avg_temperature,total_calories
1,356.677,1000.0,5.944616666666667,356.677,1000.0,129,148,280,377,160,174,1.0197,,91.2,267.1,,6,4,,65
2,328.918,1000.0,5.481966666666667,685.595,2000.0,146,158,308,358,168,174,1.0892,,93.4,258.4,,7,11,,69
3,325.208,1000.0,5.420133333333334,1010.8030000000001,3000.0,149,160,306,358,168,176,1.0966,,93.3,256.7,,2,15,,69
4,329.832,1000.0,5.4972,1340.6350000000002,4000.0,147,154,303,344,166,176,1.0771,,93.3,260.6,,1,8,,68
5,336.418,1000.0,5.606966666666667,1677.0530000000003,5000.0,149,154,297,334,166,174,1.0684,,93.0,261.4,,2,5,,70
6,333.623,1000.0,5.560383333333333,2010.6760000000004,6000.0,156,159,315,395,168,174,1.0687,,92.5,259.9,,12,0,,72
7,322.288,1000.0,5.371466666666667,2332.9640000000004,7000.0,161,163,324,385,168,174,1.1113,,94.1,256.5,,9,1,,72
8,314.379,1000.0,5.23965,2647.3430000000003,8000.0,162,168,323,408,168,172,1.1235,,94.4,254.7,,8,7,,70
9,330.24,1000.0,5.5040000000000004,2977.5830000000005,9000.0,160,165,327,408,166,172,1.0916,,94.0,259.7,,16,3,,72
10,325.677,1000.0,5.42795,3303.2600000000007,10000.0,163,170,312,353,168,176,1.0765,,92.0,256.9,,8,6,,71
11,309.566,1000.0,5.159433333333333,3612.8260000000005,11000.0,161,166,320,397,168,174,1.1487,,95.0,252.0,,6,13,,68
12,308.231,1000.0,5.137183333333334,3921.0570000000007,12000.0,160,164,318,345,170,174,1.1445999999999998,,94.4,251.0,,0,7,,67
13,322.122,1000.0,5.3687000000000005,4243.179000000001,13000.0,160,172,320,398,168,174,1.106,,93.9,256.6,,11,9,,69
14,337.033,1000.0,5.617216666666667,4580.212000000001,14000.0,160,173,320,400,168,174,1.0529000000000002,,91.7,260.8,,17,1,,72
15,334.768,1000.0,5.579466666666666,4914.980000000001,15000.0,155,162,294,345,168,174,1.0732000000000002,,92.7,259.5,,4,14,,66
16,310.65,1000.0,5.177499999999999,5225.630000000001,16000.0,159,163,316,374,170,174,1.1358,,93.9,251.3,,2,11,,64
17,313.328,1000.0,5.222133333333333,5538.9580000000005,17000.0,163,169,322,396,170,176,1.1251,,93.5,252.0,,6,7,,69
18,331.907,1000.0,5.531783333333333,5870.865000000001,18000.0,164,168,323,400,168,172,1.0729000000000002,,92.6,259.5,,15,2,,71
19,321.72,1000.0,5.362,6192.585000000001,19000.0,168,178,306,352,168,174,1.098,,93.1,256.0,,5,11,,71
20,313.998,1000.0,5.2333,6506.5830000000005,20000.0,163,167,315,399,168,176,1.1276,,94.0,253.1,,6,11,,66
21,315.184,1000.0,5.253066666666667,6821.767000000001,21000.0,164,167,322,377,170,174,1.1285999999999998,,93.3,250.9,,4,4,,68
22,320.772,1000.0,5.3462,7142.539000000001,22000.0,161,171,320,414,168,174,1.0973,,93.1,256.3,,11,8,,67
23,342.362,1000.0,5.706033333333334,7484.901000000001,23000.0,171,181,311,421,168,174,1.0351,,90.8,261.9,,14,2,,75
24,318.066,1000.0,5.3011,7802.967000000001,24000.0,168,174,323,395,170,174,1.1125,,93.0,253.1,,10,7,,70
25,309.622,1000.0,5.1603666666666665,8112.589000000001,25000.0,166,171,306,361,168,178,1.1347,,92.8,248.5,,1,13,,67
